,0
0,アナと雪の女王2
1,ドクター・スリープ
2,映画 すみっコぐらし とびだす絵本とひみつのコ
3,ターミネーター：ニュー・フェイト
4,シティーハンター THE MOVIE 史上最香のミッション
5,ルパン三世 THE FIRST
6,決算！忠臣蔵
7,ジョーカー
8,アイリッシュマン
9,マチネの終わりに
10,シャイニング
11,ヘルタースケルター
12,イエスタデイ
13,ミザリー
14,IT／イット THE END “それ”が見えたら、終わり。
15,エンド・オブ・ステイツ
16,ラスト・クリスマス
17,HUMAN LOST 人間失格
18,アトミック・ブロンド
19,ひとよ
20,恋は雨上がりのように
21,ゾンビランド：ダブルタップ
22,THE INFORMER／三秒間の死角
23,ファイティング・ファミリー
24,紙の月
25,ホーム・アローン3
26,午前0時、キスしに来てよ
27,天気の子
28,ブライトバーン／恐怖の拡散者
29,銀河英雄伝説　Die Neue These　星乱　第三章
30,羊とオオカミの恋と殺人
31,ニック・オブ・タイム
32,殺さない彼と死なない彼女
33,IT／イット “それ”が見えたら、終わり。
34,ジュマンジ
35,劇場版『ガンダム Gのレコンギスタ I』「行け！コア・ファイター」
36,冴えない彼女の育てかた Fine
37,サボタージュ
38,ルパン三世　プリズン・オブ・ザ・パスト
39,ライフ・イットセルフ　未来に続く物語
40,影踏み
41,閉鎖病棟―それぞれの朝―
42,ジョゼと虎と魚たち
43,ちょっと今から仕事やめてくる
44,スター・ウォーズ／スカイウォーカーの夜明け
45,鑑定士と顔のない依頼人
46,ザ・ファン
47,ヒックとドラゴン
48,スマホを落としただけなのに
49,きみに読む物語
50,MANRIKI
51,赤い雪　Red Snow
52,ワンダー 君は太陽
53,i－新聞記者ドキュメント－
54,黒い家
55,翔んで埼玉
56,シカゴ
57,シャッター アイランド
58,人魚の眠る家
59,50回目のファーストキス
60,スター・ウォーズ／最後のジェダイ
61,冷たい熱帯魚
62,彼女がその名を知らない鳥たち
63,ヘアスプレー
64,ダブル・ミッション
65,運命の女
66,タクシードライバー
67,センセイ君主
68,KIN/キン
69,ターミネーター
70,テルアビブ・オン・ファイア
71,キューポラのある街
72,怒り
73,ゴーストマスター
74,マリアンヌ
75,億男
76,天使のくれた時間
77,プラダを着た悪魔
