,id,title,rate
0,0,アナと雪の女王2,3.87
1,1,ドクター・スリープ,3.52
2,2,映画 すみっコぐらし とびだす絵本とひみつのコ,4.43
3,3,ターミネーター：ニュー・フェイト,3.69
4,4,シティーハンター THE MOVIE 史上最香のミッション,4.21
5,5,ルパン三世 THE FIRST,3.28
6,6,決算！忠臣蔵,3.27
7,7,ジョーカー,4.06
8,8,アイリッシュマン,3.8
9,9,マチネの終わりに,3.82
10,10,ヘルタースケルター,2.71
11,11,イエスタデイ,4.12
12,12,IT／イット THE END “それ”が見えたら、終わり。,3.32
13,13,エンド・オブ・ステイツ,3.99
14,14,ラスト・クリスマス,4.06
15,15,ラスト・クリスマス,3.75
16,16,アトミック・ブロンド,3.55
17,17,ひとよ,3.9
18,18,恋は雨上がりのように,4.21
19,19,紙の月,3.99
20,20,午前0時、キスしに来てよ,3.27
21,21,天気の子,3.73
22,22,殺さない彼と死なない彼女,3.94
23,23,IT／イット “それ”が見えたら、終わり。,3.34
24,24,冴えない彼女の育てかた Fine,4.38
25,25,サボタージュ,2.79
26,26,ライフ・イットセルフ　未来に続く物語,3.85
27,27,影踏み,3.34
28,28,閉鎖病棟―それぞれの朝―,3.51
29,29,ちょっと今から仕事やめてくる,3.95
30,30,鑑定士と顔のない依頼人,3.78
31,31,ヒックとドラゴン,4.44
32,32,スマホを落としただけなのに,3.16
33,33,きみに読む物語,4.11
34,34,ジョン・デロリアン,3.0
35,35,ワンダー 君は太陽,4.37
36,36,i－新聞記者ドキュメント－,3.71
37,37,翔んで埼玉,4.18
38,38,シャッター アイランド,3.55
39,39,人魚の眠る家,3.87
40,40,50回目のファーストキス,3.75
41,41,冷たい熱帯魚,3.5
42,42,彼女がその名を知らない鳥たち,4.01
43,43,ヘアスプレー,4.17
44,44,ダブル・ミッション,3.41
45,45,センセイ君主,3.32
46,46,テルアビブ・オン・ファイア,4.33
47,47,怒り,4.0
48,48,マリアンヌ,3.84
49,49,億男,3.34
50,50,プラダを着た悪魔,4.1
51,51,インターステラー,4.22
52,52,ボヘミアン・ラプソディ,4.53
53,53,アラジン,4.31
54,54,私のちいさなお葬式,3.75
55,55,グラスホッパー,2.67
56,56,蜜蜂と遠雷,3.55
57,57,最強のふたり,4.31
58,58,ハクソー・リッジ,4.03
59,59,新聞記者,3.88
60,60,ミスミソウ,3.46
61,61,ハッピー・デス・デイ,3.88
62,62,イニシエーション・ラブ,3.4
63,63,カツベン！,4.5
64,64,わたしは光をにぎっている,3.46
65,65,グリーンブック,4.48
66,66,運び屋,4.03
67,67,ラ・ラ・ランド,4.09
68,68,パラレルワールド・ラブストーリー,2.86
69,69,劇場版 コード・ブルー　－ドクターヘリ緊急救命－,2.79
70,70,スパイダーマン：ファー・フロム・ホーム,4.08
71,71,ミスト,3.41
72,72,T-34 レジェンド・オブ・ウォー,4.36
73,73,ファウンダー　ハンバーガー帝国のヒミツ,3.78
74,74,進撃の巨人 ATTACK ON TITAN,2.19
75,75,娼年,3.13
76,76,エスター,3.97
77,77,ソラニン,3.53
78,78,コーヒーが冷めないうちに,3.55
79,79,万引き家族,4.08
80,80,勝手にふるえてろ,4.03
81,81,空母いぶき,3.6
82,82,あん,4.15
83,83,白鯨との闘い,3.4
84,84,いま、会いにゆきます,4.14
85,85,映画クレヨンしんちゃん　新婚旅行ハリケーン ～失われたひろし～,4.32
86,86,あと1センチの恋,3.62
87,87,鬼滅の刃　兄妹の絆,4.17
88,88,バタフライ・エフェクト,4.28
89,89,国家が破産する日,3.63
90,90,マイ・インターン,4.12
91,91,君に届け,3.76
92,92,チャイルド・プレイ,3.26
93,93,孤狼の血,4.1
94,94,家に帰ると妻が必ず死んだふりをしています。,3.45
95,95,世界一キライなあなたに,4.07
96,96,ニュー・シネマ・パラダイス,4.37
97,97,僕のワンダフル・ライフ,4.22
98,98,メン・イン・ブラック：インターナショナル,3.13
99,99,帰ってきたヒトラー,3.93
100,100,情愛中毒,3.61
101,101,バーニング・オーシャン,3.55
102,102,ワンス・アポン・ア・タイム・イン・ハリウッド,3.73
103,103,海よりもまだ深く,3.84
104,104,告白,3.9
105,105,コドモのコドモ,2.45
106,106,パラサイト 半地下の家族,4.2
107,107,きょうのキラ君,3.42
108,108,レプリカズ,3.18
109,109,アバウト・タイム　～愛おしい時間について～,4.11
110,110,ヒックとドラゴン　聖地への冒険,4.22
111,111,サバイバルファミリー,3.78
112,112,アンロック／陰謀のコード,3.48
113,113,貞子,2.09
114,114,悪人,4.01
115,115,愛の渦,3.13
116,116,のみとり侍,3.05
117,117,アド・アストラ,2.85
118,118,恋空,2.1
119,119,アリータ：バトル・エンジェル,4.07
120,120,ジョン・ウィック：パラベラム,3.75
121,121,パッセンジャー,3.73
122,122,ベイビー・ドライバー,4.01
123,123,アリー/ スター誕生,3.73
124,124,誰も知らない,3.96
125,125,桐島、部活やめるってよ,4.0
126,126,ミッドナイト・イン・パリ,3.81
127,127,新感染　ファイナル・エクスプレス,4.04
128,128,キャロル,3.59
129,129,クラウド アトラス,3.51
130,130,アルキメデスの大戦,4.11
131,131,トレイン・ミッション,3.61
132,132,ハンターキラー 潜航せよ,4.23
133,133,二ツ星の料理人,3.46
134,134,パージ：エクスペリメント,3.38
135,135,ボーダーライン,3.79
136,136,日本のいちばん長い日,3.51
137,137,殺人の追憶,4.08
138,138,gifted／ギフテッド,4.18
139,139,テッド・バンディ,3.5
140,140,ブレードランナー 2049,4.08
141,141,花宵道中,2.81
142,142,キングスマン,4.18
143,143,ドント・ブリーズ,3.58
144,144,トモダチゲーム　劇場版,3.47
145,145,ヒトラーの忘れもの,4.26
146,146,ウルフ・オブ・ウォールストリート,3.63
147,147,ホリデイ,4.06
148,148,博士と彼女のセオリー,3.91
149,149,女王陛下のお気に入り,3.82
150,150,食堂かたつむり,2.86
151,151,さよならくちびる,3.61
152,152,エンド・オブ・ホワイトハウス,3.56
153,153,暗黒女子,3.23
154,154,フォードvsフェラーリ,4.5
155,155,ザ・ウォーカー,3.17
156,156,スノー・ロワイヤル,3.27
157,157,帝一の國,4.08
158,158,この世界の片隅に,3.91
159,159,LIFE！/ライフ,3.82
160,160,エンド・オブ・キングダム,3.52
161,161,メメント,3.8
162,162,ピーチガール,3.1
163,163,"アイ,トーニャ　史上最大のスキャンダル",3.84
164,164,シェイプ・オブ・ウォーター,3.63
165,165,orange－オレンジ－,3.4
166,166,わたしは、ダニエル・ブレイク,4.09
167,167,居眠り磐音,3.87
168,168,ツレがうつになりまして。,3.65
169,169,ゴーン・ガール,3.71
170,170,くちびるに歌を,4.23
171,171,真実,3.44
172,172,白ゆき姫殺人事件,3.24
173,173,それでもボクはやってない,4.16
174,174,日本で一番悪い奴ら,3.99
175,175,7番房の奇跡,4.17
176,176,ヒミズ,3.39
177,177,グラン・トリノ,4.38
178,178,ダークタワー,3.09
179,179,子宮に沈める,2.38
180,180,アナと雪の女王,3.66
181,181,EXIT,3.97
