,title,rate
0,アナと雪の女王2,3.87
1,ドクター・スリープ,3.52
2,映画 すみっコぐらし とびだす絵本とひみつのコ,4.43
3,ターミネーター：ニュー・フェイト,3.69
4,シティーハンター THE MOVIE 史上最香のミッション,4.21
5,ルパン三世 THE FIRST,3.28
6,決算！忠臣蔵,3.27
7,ジョーカー,4.06
8,アイリッシュマン,3.8
9,マチネの終わりに,3.82
10,シャイニング,3.93
11,ヘルタースケルター,2.71
12,イエスタデイ,4.12
13,ミザリー,4.09
14,IT／イット THE END “それ”が見えたら、終わり。,3.32
15,エンド・オブ・ステイツ,3.99
16,ラスト・クリスマス,4.06
17,HUMAN LOST 人間失格,2.64
18,アトミック・ブロンド,3.55
19,ひとよ,3.9
20,恋は雨上がりのように,4.21
21,ゾンビランド：ダブルタップ,3.54
22,THE INFORMER／三秒間の死角,3.53
23,ファイティング・ファミリー,4.12
24,紙の月,3.99
25,ホーム・アローン3,3.43
26,午前0時、キスしに来てよ,3.27
27,天気の子,3.73
28,ブライトバーン／恐怖の拡散者,3.08
29,銀河英雄伝説　Die Neue These　星乱　第三章,4.38
30,羊とオオカミの恋と殺人,3.28
31,ニック・オブ・タイム,3.21
32,殺さない彼と死なない彼女,3.94
33,IT／イット “それ”が見えたら、終わり。,3.34
34,ジュマンジ,3.89
35,劇場版『ガンダム Gのレコンギスタ I』「行け！コア・ファイター」,4.14
36,冴えない彼女の育てかた Fine,4.38
37,サボタージュ,2.79
38,ルパン三世　プリズン・オブ・ザ・パスト,1.87
39,ライフ・イットセルフ　未来に続く物語,3.85
40,影踏み,3.34
41,閉鎖病棟―それぞれの朝―,3.51
42,ジョゼと虎と魚たち,3.95
43,ちょっと今から仕事やめてくる,3.95
44,スター・ウォーズ／スカイウォーカーの夜明け,3.75
45,鑑定士と顔のない依頼人,3.78
46,ザ・ファン,3.25
47,ヒックとドラゴン,4.44
48,スマホを落としただけなのに,3.16
49,きみに読む物語,4.11
50,MANRIKI,3.05
51,赤い雪　Red Snow,3.02
52,ワンダー 君は太陽,4.37
53,i－新聞記者ドキュメント－,3.71
54,黒い家,2.86
55,翔んで埼玉,4.18
56,シカゴ,3.91
57,シャッター アイランド,3.55
58,人魚の眠る家,3.87
59,50回目のファーストキス,3.75
60,スター・ウォーズ／最後のジェダイ,4.07
61,冷たい熱帯魚,3.5
62,彼女がその名を知らない鳥たち,4.01
63,ヘアスプレー,4.17
64,ダブル・ミッション,3.41
65,運命の女,3.53
66,タクシードライバー,3.99
67,センセイ君主,3.32
68,KIN/キン,3.35
69,ターミネーター,4.43
70,テルアビブ・オン・ファイア,4.33
71,キューポラのある街,4.1
72,怒り,4.0
73,ゴーストマスター,2.88
74,マリアンヌ,3.84
75,億男,3.34
76,天使のくれた時間,4.11
77,プラダを着た悪魔,4.1
78,インターステラー,4.22
79,ボヘミアン・ラプソディ,4.53
80,明日の記憶,4.03
81,アラジン,4.31
82,ロードキラー,3.34
83,グラスホッパー,2.67
84,蜜蜂と遠雷,3.55
85,最強のふたり,4.31
86,ハクソー・リッジ,4.03
87,海賊じいちゃんの贈りもの,3.65
88,ターミネーター2,4.55
89,新聞記者,3.88
90,ミスミソウ,3.46
91,Re:ゼロから始める異世界生活 氷結の絆,2.99
92,ハッピー・デス・デイ,3.88
93,居酒屋兆治,3.58
94,イニシエーション・ラブ,3.4
95,オーバー・エベレスト 陰謀の氷壁,2.76
96,カツベン！,4.5
97,わたしは光をにぎっている,3.46
98,グリーンブック,4.48
99,盲目のメロディ～インド式殺人狂騒曲～,3.85
100,運び屋,4.03
101,ラ・ラ・ランド,4.09
102,パラレルワールド・ラブストーリー,2.86
103,劇場版 コード・ブルー　－ドクターヘリ緊急救命－,2.79
104,映画　スター☆トゥインクルプリキュア　星のうたに想いをこめて,4.56
105,スパイダーマン：ファー・フロム・ホーム,4.08
106,ミスト,3.41
107,T-34 レジェンド・オブ・ウォー,4.36
108,ザ・アウトロー,3.35
109,ファウンダー　ハンバーガー帝国のヒミツ,3.78
110,ホーム・アローン4,2.08
111,失楽園,3.01
112,ぼくらの七日間戦争,3.43
113,進撃の巨人 ATTACK ON TITAN,2.19
114,ダンサー・イン・ザ・ダーク,3.42
115,娼年,3.13
116,エスター,3.97
117,ソラニン,3.53
118,コーヒーが冷めないうちに,3.55
119,悪と仮面のルール,2.7
120,万引き家族,4.08
